id_local,coordenada_x_local,coordenada_y_local
1,439945,4475591
3,440044,4474063
5,440226,4474520
6,441011,4473777
7,440408,4474047
8,440471,4473306
9,439909,4474131
10,440282,4474300
11,440195,4474478
12,441226,4473481
13,441165,4473737
14,440477,4474250
15,440502,4474069
16,440236,4473671
17,441074,4473525
18,440323,4475519
19,439892,4474487
20,439719,4473348
22,440759,4474876
23,440899,4474297
25,439839,4474570
26,440533,4474851
27,440519,4474790
28,440559,4474917
29,440530,4474779
30,439975,4474368
31,439918,4474281
32,440387,4474125
33,440232,4475358
34,440905,4474837
35,440149,4474512
36,440031,4474044
37,441199,4473326
38,440875,4475142
39,440388,4474077
40,440958,4475092
43,440755,4473926
44,440410,4472046
45,441014,4471199
46,443254,4474536
47,443230,4472605
48,442766,4472944
49,442790,4474632
50,442916,4473320
51,442367,4472634
52,442941,4474099
53,443045,4473620
54,443007,4472286
56,441203,4473577
57,440038,4473080
58,440498,4473664
59,440410,4474298
60,440832,4475063
61,440609,4473823
62,439840,4475497
63,439886,4474858
64,440130,4474154
65,440066,4474315
66,440866,4475470
67,440141,4474185
68,439734,4473565
69,441119,4473749
70,440600,4474767
71,440646,4473703
72,440140,4474023
73,439735,4473553
74,439852,4473567
75,440458,4473538
76,439820,4473516
77,442878,4472995
78,443006,4474359
79,441460,4474028
80,443657,4474119
81,443209,4472331
82,443227,4474143
83,441437,4474544
84,442081,4474026
85,442041,4474130
86,443223,4473291
88,439764,4473674
90,440341,4474606
91,439934,4474006
92,439766,4474909
93,440601,4473808
97,440430,4473427
98,442729,4474516
99,442575,4472942
100,440413,4472782
101,440479,4472849
102,440855,4471893
103,442424,4471640
104,441243,4471514
105,441064,4471660
106,441309,4471634
107,439324,4472861
108,441007,4472458
109,440157,4474624
111,440497,4473975
112,439914,4474187
113,439737,4474933
114,439926,4474824
115,440880,4473611
116,439968,4473234
117,439833,4474506
118,440953,4474656
120,440150,4472883
121,439840,4472730
122,441154,4471537
123,442472,4472802
125,442501,4473175
127,441943,4472750
128,442426,4474640
129,442432,4474639
130,443019,4473108
131,440127,4474277
133,440134,4473142
134,439418,4473699
135,439756,4474372
136,439844,4474692
137,439856,4475044
138,440066,4475481
139,441036,4475026
140,439522,4473276
141,442550,4474649
142,443489,4473516
143,443749,4474232
144,442356,4472799
145,442715,4474228
146,442940,4473222
147,442849,4474219
148,442755,4472372
149,442585,4472936
150,442200,4472844
151,442499,4472844
152,440554,4475338
153,439722,4473550
154,440851,4474857
155,440208,4474240
157,440893,4473847
158,440651,4475344
159,439862,4474385
160,439405,4473780
161,440453,4475536
163,442710,4474379
164,441636,4473108
165,442770,4472526
166,442723,4473013
167,442784,4474547
169,442680,4472579
170,442176,4472799
171,442863,4474401
172,442558,4473076
173,442868,4472979
174,442891,4474180
175,442637,4472731
176,442773,4474658
177,442333,4473108
178,442753,4474080
179,442761,4472988
180,442796,4472562
181,443073,4473034
182,442571,4472645
183,442974,4473113
184,443129,4472747
185,441178,4473470
186,440806,4475021
187,440603,4474798
188,440568,4474542
189,440160,4474492
190,440979,4475154
191,439665,4473657
192,440824,4474879
193,439532,4474616
194,440342,4473451
196,442564,4473157
197,442833,4474066
198,442768,4474590
199,442628,4474657
201,443038,4472146
202,442594,4474135
204,442337,4471585
205,439104,4473479
206,440005,4472927
207,441146,4472682
208,442374,4471700
209,441064,4471809
211,442691,4474621
212,443348,4473992
214,441440,4473831
215,442729,4472820
216,442623,4474603
217,442708,4472733
218,439507,4473300
219,440484,4474668
220,440513,4474723
221,440526,4474768
222,439828,4474367
223,440514,4474171
224,440023,4474246
225,439672,4473268
226,440567,4475129
227,440401,4475181
229,440989,4474974
230,440420,4474484
231,440443,4474545
232,439678,4474385
234,440688,4474219
235,440492,4474153
237,440658,4473289
239,439711,4473748
240,440814,4473983
241,439964,4474332
242,440540,4474548
243,440182,4474416
244,441001,4475215
245,440343,4474202
246,440314,4473147
247,440475,4474938
248,440534,4474847
249,439784,4475048
250,439757,4473678
251,440600,4474035
252,439959,4474024
253,439950,4474584
254,440048,4473992
255,440010,4474207
257,440238,4473985
258,439991,4474489
259,440952,4473832
260,440370,4474703
262,440886,4474731
263,440503,4475303
264,440765,4474959
265,439802,4474197
266,440524,4475025
267,440816,4473688
268,439806,4475148
269,440612,4473877
270,440048,4475241
271,442885,4474400
272,442774,4474664
273,443063,4472119
274,442490,4472991
275,442877,4474262
276,442429,4472882
277,442875,4472987
278,442840,4472038
279,442592,4473275
280,442624,4472915
281,442749,4473052
282,439610,4474088
283,440044,4474460
284,440572,4474192
285,439976,4474181
287,440187,4474198
288,439771,4473423
289,440411,4475032
290,440500,4474722
292,443122,4474349
294,442342,4473052
295,442634,4473032
296,442281,4472683
297,443345,4474190
298,443115,4473908
299,442596,4474161
301,443396,4474288
302,441631,4473153
303,440180,4474061
304,439993,4473706
305,440681,4474698
306,440554,4475041
307,439982,4475682
308,440387,4474139
309,439730,4473233
311,440806,4474858
312,440728,4474338
313,440407,4474033
314,440334,4474306
315,439903,4475576
316,440732,4473786
317,440651,4474043
318,439674,4473314
319,440575,4474161
321,439789,4473496
322,440738,4473983
324,439996,4474338
325,439804,4475077
326,440991,4475347
327,441202,4473371
328,440546,4474731
329,440089,4474065
330,440337,4473219
331,441162,4473746
332,440387,4473231
333,440438,4473417
334,440081,4474308
336,442763,4474218
337,442878,4474277
338,442477,4473160
339,442659,4472693
340,442905,4473039
341,442462,4473131
342,443193,4474279
343,442663,4474699
344,442752,4473057
345,442938,4472750
346,441034,4474069
347,440174,4475599
348,440693,4473477
349,439926,4473673
350,439925,4473945
351,440266,4474584
352,440379,4474490
353,440237,4474400
354,439958,4474028
355,440298,4474733
356,440671,4474424
357,442228,4472901
358,443173,4473371
359,442451,4473138
360,442607,4472836
362,442465,4474285
363,442480,4472816
364,442061,4472946
365,442736,4473145
366,442674,4473154
367,442948,4472205
368,440180,4474234
369,439732,4473720
370,439655,4474331
371,439952,4473909
372,440903,4475308
373,439904,4474184
374,439801,4474930
375,439847,4474464
376,439991,4474627
377,439958,4474681
378,439736,4475073
379,439762,4475268
380,439710,4474957
381,439723,4475192
383,439985,4475225
384,439620,4473597
385,440028,4475326
386,439953,4473651
387,440680,4473248
388,440685,4474665
389,439946,4474995
390,440062,4473350
391,439961,4474009
392,440307,4473534
395,439940,4473709
396,440073,4475068
398,439727,4473421
399,441091,4473515
400,440866,4474618
401,439948,4473784
402,440848,4474746
403,440827,4474739
404,439965,4473873
405,439733,4474367
406,440222,4475482
407,440341,4473702
408,440126,4474095
409,440372,4474328
410,442456,4472779
411,442513,4473174
412,442594,4472992
413,443199,4472443
414,442599,4474628
415,442374,4472912
416,442898,4473062
417,442285,4472940
418,442842,4474370
419,442710,4474619
420,442670,4474140
421,440114,4474297
422,440306,4475074
423,440708,4474985
424,440502,4473346
425,440726,4474210
426,439700,4474377
427,440474,4475401
428,440552,4475091
429,440540,4474883
430,439976,4473994
431,440786,4473564
432,439895,4474065
433,440641,4475535
434,440387,4474149
437,440560,4473830
438,439473,4475753
440,440382,4474034
441,439755,4473719
442,440713,4474881
443,440754,4474852
444,439767,4475265
445,439966,4474941
446,439778,4474862
448,440462,4472995
449,440867,4474927
450,440983,4473917
451,440713,4473600
452,439588,4473929
453,439694,4474508
454,441052,4475182
455,441128,4473776
456,439453,4473825
457,440544,4474839
458,440450,4474237
459,439850,4473562
