business_status,geometry,name,photos,price_level,rating,types,user_ratings_total,tipo
OPERATIONAL,"{'location': {'lat': 40.4027345, 'lng': -3.6716397}, 'viewport': {'northeast': {'lat': 40.40407992989271, 'lng': -3.670270570107278}, 'southwest': {'lat': 40.40138027010727, 'lng': -3.672970229892722}}}",Restaurante Coreano Gangnam,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106134695578770914418"">Oscar Sanz</a>'], 'photo_reference': 'AcJnMuHDPPCfv-OK8CttQLqVRqh-z1mKlBH102hQAponYHwTSeNReCmdSGJx13eGXAc9x6oJ6utPMdGmNOJfp9xI3AusJ_OcFPJ7cCnGuDO4J0kXwrqfUZawNnM1TqC4BB5INWg3Q5Cqe_QQJI3cUV8_Alqs8S_2oftLwh8m_o-35rxesJBY', 'width': 5312}]",1.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",597,restaurant
OPERATIONAL,"{'location': {'lat': 40.4429385, 'lng': -3.695644599999999}, 'viewport': {'northeast': {'lat': 40.44425797989272, 'lng': -3.694290370107278}, 'southwest': {'lat': 40.44155832010728, 'lng': -3.696990029892722}}}",Restaurante Korea,"[{'height': 2773, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109039161418922244239"">Korea</a>'], 'photo_reference': 'AcJnMuEJfXOopTak8dXGrEXIhxVppPcoNQUdYjFVUdgeyBQZN41xxHrpfYmp9devOiwbWdzEs4p7nMbKyGls9T77qu3p-IMvEL4D92qoZ00aRzHpDitghkKILKXMutpCsdpfZcnGFSmPU5cYpG7amM0QThjWRZQNF23IUJYcCqlu8OZS3RKX', 'width': 3850}]",2.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",1922,restaurant
OPERATIONAL,"{'location': {'lat': 40.3964544, 'lng': -3.6992495}, 'viewport': {'northeast': {'lat': 40.39784702989272, 'lng': -3.697876070107278}, 'southwest': {'lat': 40.39514737010727, 'lng': -3.700575729892722}}}",Go Hyang Mat,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110205096015874459026"">Paula Gonzales</a>'], 'photo_reference': 'AcJnMuGk8QmOAblSvkeO8rOwjVJjimBFEv-ciIle4uG1S86obW7aPirQUvZnPWeUs2KnjtK22vLpTs9JuDfOcC3m4IDIWEcnhbakTDbnv5UX21afsYNCLjS785FX_ty_bgVdQxOJiu6rxcXckuj7H2PHqHPCUfz4dc7W2viwNEeSf5oesvxz', 'width': 3000}]",1.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",994,restaurant
OPERATIONAL,"{'location': {'lat': 40.450186, 'lng': -3.7018704}, 'viewport': {'northeast': {'lat': 40.45154892989272, 'lng': -3.700563320107277}, 'southwest': {'lat': 40.44884927010727, 'lng': -3.703262979892721}}}",Restaurante Midang,"[{'height': 1669, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116236740046358405554"">A Google User</a>'], 'photo_reference': 'AcJnMuHuBHkYNrRdM6hlkgmePuoVXrHrTS_7KpYT7Tq_bTwW7tbpkGYBxc-Sp1f3fbEo_L9S1rIFut4mG7GR24ChejEHt6eYc9SVJMXhhl_abCqRUV7eeuNwDX1CZ_wp1R7VYYS9vbi1LXHZUVMsKKIbISLgszTHfxJWcj1ZLALjPcROuMNB', 'width': 2500}]",2.0,4.7,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",762,meal_delivery
OPERATIONAL,"{'location': {'lat': 40.4198275, 'lng': -3.6977367}, 'viewport': {'northeast': {'lat': 40.42110407989272, 'lng': -3.696435870107278}, 'southwest': {'lat': 40.41840442010728, 'lng': -3.699135529892722}}}",Restaurante Maru,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114491021668354468609"">Hyunah Yoo</a>'], 'photo_reference': 'AcJnMuHreH1LnF3GBkhbQQaWuQ9AnczxECvgkPGeJtA3xVYiZgA_c_-btRoGucEIWNFdQ9bimPqMrZKtH7LzngurjeOHzgs_TRjN_L0Szf7EODjBC9Yoac7ApLbg3LvdM3A8t8W59WcZqPDJ1wwf18ym9gtdDpFHFq37cwviyHJKAB7mVH54', 'width': 4032}]",2.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",847,restaurant
OPERATIONAL,"{'location': {'lat': 40.4317623, 'lng': -3.7159788}, 'viewport': {'northeast': {'lat': 40.43317892989273, 'lng': -3.714610270107278}, 'southwest': {'lat': 40.43047927010728, 'lng': -3.717309929892722}}}",Restaurante Dimibang,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115193865591074244877"">Javier Lebrero</a>'], 'photo_reference': 'AcJnMuFVu3B1_28XBieeepty9zCkqd1J-z79DMR2LVgYuKkGI2rcjfybQ4Hz5OGR6OEFNVqNU_9guIXuPIye7lRVogY4v12K2JzoT7FWU50T8MIb_dl174c7MhzDnyqIbcRGibcf6Vqd3iz4GkNk8PQ3Xiwk2OR2Cfv73UH-w48xHvY9vSsH', 'width': 4000}]",,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",578,restaurant
OPERATIONAL,"{'location': {'lat': 40.4048739, 'lng': -3.7133517}, 'viewport': {'northeast': {'lat': 40.40632662989272, 'lng': -3.712228370107279}, 'southwest': {'lat': 40.40362697010728, 'lng': -3.714928029892723}}}",Restaurante Miso,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112201440515283459298"">Enrique RA</a>'], 'photo_reference': 'AcJnMuEagNPzKDpDataJjJOLtg8Ck7eqrT7U93unDI2YiFA8W6BpXto9LEQ9KNilkw-Em16Ge0Euvd-QcyYhNtqq56u76DPMFrg2c0edTmVuZVEDMyjC6CzA1yb2vnj40_oI5_OKvdqU7mjbVxtGawN_UoQZ7GAK0rNS8801EAuigHD1XNsT', 'width': 4608}]",1.0,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",878,restaurant
OPERATIONAL,"{'location': {'lat': 40.4110394, 'lng': -3.7179383}, 'viewport': {'northeast': {'lat': 40.41239612989271, 'lng': -3.716694970107278}, 'southwest': {'lat': 40.40969647010727, 'lng': -3.719394629892722}}}",Restaurante Seoul,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117916416519519801115"">Sebas De Diego</a>'], 'photo_reference': 'AcJnMuGxv6oFCa2pNX8__ZWz0EXqogcoOvAi8v4Zw9eMKZHTxO1nmFEGankahzPkjFDxhZytbD45BiitbYoIO41WFF7qMaEgOXLX8gs9y5w6dizI331b3k-vYkl_ql0hvGFDaN3DI5S3upQm8LdzlE6RjbtnOX6jn254pXOQlG6AIDAt2rgk', 'width': 4032}]",1.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1033,restaurant
OPERATIONAL,"{'location': {'lat': 40.4269243, 'lng': -3.6988692}, 'viewport': {'northeast': {'lat': 40.42833142989272, 'lng': -3.697397720107278}, 'southwest': {'lat': 40.42563177010727, 'lng': -3.700097379892722}}}",MAMA UMA,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106624349814473045058"">tinasamson</a>'], 'photo_reference': 'AcJnMuG_AvtCPsr9KyQsNzbpyxVy0zKEDf3ZEmzBqFnMRRfWBqo9sfvMWwjWjLeAWRloAscGet-76Tb5Lx7oW4C9tcmdMUbroeFAvI_N60VxvmKY82OIGuyOsMWOZCSeK4sLxXZ3I-0OJMESo0MucSLWelNaBA3oINsDodUuN9URcUOEy2Fn', 'width': 2880}]",,4.7,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",394,meal_delivery
OPERATIONAL,"{'location': {'lat': 40.4521705, 'lng': -3.6987777}, 'viewport': {'northeast': {'lat': 40.45371197989272, 'lng': -3.697353720107278}, 'southwest': {'lat': 40.45101232010728, 'lng': -3.700053379892722}}}",Restaurante Arisu,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106704306243108903958"">Mo Li</a>'], 'photo_reference': 'AcJnMuEQEaE38o12M6LauinuFSZ4e-k8wdonTRON37vvTBfwAoTPEi3CobN6h8sH_hqgQFaJo8ElAFh3YBIouLxdW_LPA-7tGUmaHwQHJV1vaB3SG7_6am86OgqrOFTCRjkIJD-m8nUpibKKqsL7R9mwPq_FBiLtVzngZwSkN7qJcl7dmHUs', 'width': 3840}]",,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",210,restaurant
