business_status,geometry,name,photos,price_level,rating,types,user_ratings_total,tipo
OPERATIONAL,"{'location': {'lat': 40.4053422, 'lng': -3.8938754}, 'viewport': {'northeast': {'lat': 40.40661097989272, 'lng': -3.892530670107278}, 'southwest': {'lat': 40.40391132010728, 'lng': -3.895230329892722}}}",Restaurante India Gate,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113972849550408859174"">Sonia Muñoz</a>'], 'photo_reference': 'AcJnMuG0v_LekFQmkQYt2rJXhQVkJKJqyismbxo7QH8OoaXDoOOjtwRMTj0A7eSBXV1dyA9CuLF5W5epB-OKjuBBALLTDzixoFMi85MkFDwH4KsjSMiccIVLW39vsxbcizCbD9KdeyuUE-xyWvwrELhMvUzVyLNrh151rsll7QhR8vbfHNSE', 'width': 4000}]",1.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",934,restaurant
OPERATIONAL,"{'location': {'lat': 40.4634799, 'lng': -3.4694454}, 'viewport': {'northeast': {'lat': 40.46477957989272, 'lng': -3.468337120107277}, 'southwest': {'lat': 40.46207992010728, 'lng': -3.471036779892722}}}",Tikka Masala Restaurante Torrejón,"[{'height': 809, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112884797832912670399"">A Google User</a>'], 'photo_reference': 'AcJnMuH8spfQa0x5pTOE3tNsIWG5bHBKZS95DiHUMVupVgeyq4VQRyoREaqa0ByyLQ7b1K5Awx5NG-7sNluTUQQEtbFQJ_rGC3GQeyACRbvGi22dbHKWkm5Qf8PNzTSka26GEjuRCsWa-_WJnjQ3h-9txJgGmuAw7iFs49MlL1jlQaD4SN4l', 'width': 1440}]",,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",330,restaurant
OPERATIONAL,"{'location': {'lat': 40.5316347, 'lng': -3.6473925}, 'viewport': {'northeast': {'lat': 40.53297402989272, 'lng': -3.645942720107278}, 'southwest': {'lat': 40.53027437010727, 'lng': -3.648642379892722}}}",Tandoori Masala Indian Cuisine,"[{'height': 2795, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102152923988766294079"">A Google User</a>'], 'photo_reference': 'AcJnMuGSrK87G3-gX0UNYkXRO9naYAtHaH_6jxv3uPAB1_0G-gqsXNNjOIcY5EFYzWWQBR6a64YSsxLTeoCNv2LRfUp-U7L_H1mzn-g-x-mcXTfCbXQ3mKxzs8ZurOy6OYxJdUY8ORHwhTGYBiI3-a-X82BvKsUBugtrTdH-Tedc9SnrKXw7', 'width': 4192}]",2.0,4.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",772,meal_delivery
OPERATIONAL,"{'location': {'lat': 40.41126089999999, 'lng': -3.7029589}, 'viewport': {'northeast': {'lat': 40.41260857989272, 'lng': -3.701574770107278}, 'southwest': {'lat': 40.40990892010727, 'lng': -3.704274429892722}}}",Telekebab y Comida India,,,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",3,restaurant
OPERATIONAL,"{'location': {'lat': 40.2897527, 'lng': -3.7902908}, 'viewport': {'northeast': {'lat': 40.29117207989272, 'lng': -3.788921520107279}, 'southwest': {'lat': 40.28847242010728, 'lng': -3.791621179892723}}}",TANDOORI MASALA INDIAN CUISINE,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100931883585757063855"">A Google User</a>'], 'photo_reference': 'AcJnMuFkulCCpDADJ-a3j5V7eqKbXW4dtO_ne9e5tLk4XnxKqZf3VnhhYRTFFoiKf-ZmZT3ND3eICWLkCHRVBX2u3DYvmJTm3PHKvWfohhV-4O9xQRJOjAk_nMIWI24dEHlntf2mM-bPTY24E3ZK9jN6LRd-6PKaSQ1S3e898w2uUEW2iU2a', 'width': 4000}]",,4.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",557,meal_delivery
OPERATIONAL,"{'location': {'lat': 40.5229542, 'lng': -3.8924848}, 'viewport': {'northeast': {'lat': 40.52431237989272, 'lng': -3.891194220107278}, 'southwest': {'lat': 40.52161272010728, 'lng': -3.893893879892722}}}",TANDOORI MASALA INDIAN CUISINE,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107324148782948929079"">Mida Hardo</a>'], 'photo_reference': 'AcJnMuH_y-kuxoFYtrB-BF1mCreAWffb1gswYO2WwfUzOJQOpE1EnAY7pWRNkhgHxvonLp3vOyry8hOIEqePMszjaAe8bU51CLPsnw_J4qcfY_HQIX7THRPq9Yo2VYPmidpCOapInBia896pOnNb3UsDZKB3OOI8BAV7k1FL8UpfLcPuRWTL', 'width': 3024}]",2.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",331,restaurant
OPERATIONAL,"{'location': {'lat': 40.5116021, 'lng': -3.6696914}, 'viewport': {'northeast': {'lat': 40.51286567989272, 'lng': -3.668343170107277}, 'southwest': {'lat': 40.51016602010728, 'lng': -3.671042829892722}}}",Kundan indio restaurante comida hindú exotica las tablas,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116491303151630451728"">Javier Luquez</a>'], 'photo_reference': 'AcJnMuFhGxlh1_ZM50hQb88fbtJQeXfFxwD0wtx2zuANzcG5hkvTl9IIAh1QlTv5PXV5-SAOyocxmEyY_E-7_Kk7raWqGDaqIGI5-T1dBwQ2CH0AnwCzedF7NW5qCkc2LCb9xTON446WfY-FuNhqq9wCPCRaLbvXLGOA7E9IhWlU-ACkGPoL', 'width': 4608}]",2.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",755,restaurant
OPERATIONAL,"{'location': {'lat': 40.4348074, 'lng': -3.675657}, 'viewport': {'northeast': {'lat': 40.43603497989272, 'lng': -3.674314820107279}, 'southwest': {'lat': 40.43333532010728, 'lng': -3.677014479892723}}}",Bangalore Modern Indian Cuisine,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102339759611546490468"">Patricia Robles</a>'], 'photo_reference': 'AcJnMuFMCMWS3F9y5PoqIJ7dgcpDIIXaSpqwR323vONrg1BWdEjkNL0BE70OfkCweiy79wjaahzoqCy5SVYHRDt0QH_zr_5ui1Br0oB3d1_S6RxnZ3Lxki69UELOHij020nEuZT2XRnzrCAHHBGJAnn717lJwAASd8zOwocxigJ3tQjPXMLP', 'width': 4032}]",2.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",1945,restaurant
OPERATIONAL,"{'location': {'lat': 40.4151569, 'lng': -3.701298099999999}, 'viewport': {'northeast': {'lat': 40.41647957989272, 'lng': -3.699939870107278}, 'southwest': {'lat': 40.41377992010727, 'lng': -3.702639529892722}}}",Taste Of India,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115567989646284544319"">Rahul Gaywala</a>'], 'photo_reference': 'AcJnMuFP91GddmSklviy6sAc1ihE1eBiWiGW6Y_0Ztd96EeagXt7oBsDJ16qUeslm89IpMpKbYQpbNZQX6yR2JyVzzx17jjP5jYQ5R_NaZj3wurMpKzc8Z3ZcuTLOxhHbX0-pleHHgBJYdF9zexapz67wHKTZOvAWjCEhWUE3pj9mFNN7kJU', 'width': 4032}]",1.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",1800,restaurant
OPERATIONAL,"{'location': {'lat': 40.4159364, 'lng': -3.6989705}, 'viewport': {'northeast': {'lat': 40.41728547989272, 'lng': -3.697568770107278}, 'southwest': {'lat': 40.41458582010728, 'lng': -3.700268429892722}}}",Indian Aroma,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112360903592276795154"">A Google User</a>'], 'photo_reference': 'AcJnMuE_MkC4yIcy6nAk86saiPtiaFWiRFaLjr8d632-wqc7h4-4ZqEerU_PR6GJt7eJbe56zOPKGZELxb0HUut1Rvo88B8x2KjNvDH5ecE15oQpK427lQPRHtTsIUOyQ9cwbu18KjG5TePWW0b67ubKVBrgMd0wa-pDicbmadLGAudWS7_V', 'width': 3024}]",2.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1905,restaurant
