business_status,geometry,name,photos,price_level,rating,types,user_ratings_total,tipo
OPERATIONAL,"{'location': {'lat': 40.4077117, 'lng': -3.6801926}, 'viewport': {'northeast': {'lat': 40.40885412989272, 'lng': -3.679051720107278}, 'southwest': {'lat': 40.40615447010728, 'lng': -3.681751379892722}}}",Restaurante Don Giovanni,"[{'height': 367, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117430092948413355631"">A Google User</a>'], 'photo_reference': 'AcJnMuFKGzoYhlCz84nwJrb3gfcUgIrKet3kitetrdjguPwYtD8LIcIuGYjw--KRwHWjSkBTu1gyTHWdS4xB27QUeHIN_02f_JY0uAt6zgGvWvsJt9s8iZDAZ-C3N33EXQmggFdnV6A_8V0XBvgxYmiKd_8EF1voaHhj5ZV-e2jyLgjh6Q-F', 'width': 550}]",3,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",2906,restaurant
OPERATIONAL,"{'location': {'lat': 40.41252, 'lng': -3.708932}, 'viewport': {'northeast': {'lat': 40.41386857989272, 'lng': -3.707612120107278}, 'southwest': {'lat': 40.41116892010727, 'lng': -3.710311779892722}}}",Restaurante Italiano Emma y Julia,"[{'height': 6656, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102484509852733036900"">A Google User</a>'], 'photo_reference': 'AcJnMuGdLR9kTw7tqNVqfIMVYq6t43MUVvpsbNIgxBtXSO7zRZYnET0CuDC7gQM19zx1zeemMGMZGTPvlYlo0PRMDO7SDfgENninybEl4dQKBkR8pJB5uKNljYKXGVAhABOUx2M3HP56yt_xqF3o0iN2pPm-ac_JLZOuKgjy0KgTeQCBKaoX', 'width': 13312}]",2,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",1880,restaurant
OPERATIONAL,"{'location': {'lat': 40.4461745, 'lng': -3.6997244}, 'viewport': {'northeast': {'lat': 40.44773572989272, 'lng': -3.698501970107278}, 'southwest': {'lat': 40.44503607010727, 'lng': -3.701201629892722}}}",Maruzzella,"[{'height': 497, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110071358376469571007"">Rubén Bravo</a>'], 'photo_reference': 'AcJnMuGP1VvPXAVTqcvHOXbBTppPWkN6qMCCQXMtPXcJ97_XddB-ONslmMQ9Xw8CSqh9lHWs5Bgxtrz9hhYzmFqi_cUo3gWhqMgSodct6yeGk2x-2Eztl3DVwM32MjhwU2ASqT57sTNX5h5wrw815UIXOwGN6L5I0joYFh5IO8edqgj6qDG8', 'width': 735}]",2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1637,restaurant
OPERATIONAL,"{'location': {'lat': 40.4261416, 'lng': -3.6941328}, 'viewport': {'northeast': {'lat': 40.42744582989272, 'lng': -3.692759370107278}, 'southwest': {'lat': 40.42474617010728, 'lng': -3.695459029892722}}}",La Tavernetta,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116135001449101429665"">José María Cuéllar</a>'], 'photo_reference': 'AcJnMuELUjUhmJYyGKTa_J3QIhWqQMIeUjCt2BAXDLOX65Ujr55Hehc8oO0qV7k35n-kiHAdtEgRbVP5zKLXoS8Xg1ebg1JvipT6Qgommj4doSQmf5w0hJFHbaNOipZjBAP2OgeY_rCqNAWzGcJzcBGKfyD7H-CFaPPbyE3pq_Z4E5Mvd2ao', 'width': 4032}]",2,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1014,restaurant
OPERATIONAL,"{'location': {'lat': 40.4621918, 'lng': -3.6912143}, 'viewport': {'northeast': {'lat': 40.46348292989272, 'lng': -3.689878320107279}, 'southwest': {'lat': 40.46078327010728, 'lng': -3.692577979892723}}}",Trattoria Manzoni,"[{'height': 709, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114700913945886516358"">Alberto Granados</a>'], 'photo_reference': 'AcJnMuFZjEqThscR6XRXKseq9f4YnDttKkfaxFzwnGTgmp4P0jmPSi3VFVKiMSH0z4YeSWH20L5_5QVAS4Q_45BNFkxnPC5vuC9mf8nB5owk6z4CrqbgyvTyGpCfzYvEJCtNG0a9zEeV6m41xj6FsUKCaIJAbaJR4R_RKZMixxxDiB_nK2pV', 'width': 900}]",2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",555,restaurant
OPERATIONAL,"{'location': {'lat': 40.4264141, 'lng': -3.668295999999999}, 'viewport': {'northeast': {'lat': 40.42779812989271, 'lng': -3.667003220107278}, 'southwest': {'lat': 40.42509847010727, 'lng': -3.669702879892722}}}",Malafemmena,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118343337308297629868"">Sergio Velasco Muñoz</a>'], 'photo_reference': 'AcJnMuG6dxpn0596Pu2iAypBZx5Ue3sdq3Qivv8aLf5B3QEHTsIVDJ5Pv3ouYWXdhrV0MIrACM6sK00FxsX-eWVOmcXMA-45yiIwKmMmobiHz4CAcSNRiWX1QYlV-Jt8MBVbIO5ZuiZ0OSAEFH3u8atoR3sr1pZyk3r85_y7pKH7k-YzM2zd', 'width': 4608}]",2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",2625,restaurant
OPERATIONAL,"{'location': {'lat': 40.4097901, 'lng': -3.6964677}, 'viewport': {'northeast': {'lat': 40.41110457989272, 'lng': -3.695152970107278}, 'southwest': {'lat': 40.40840492010727, 'lng': -3.697852629892722}}}",Oliveto,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115111925670096565331"">meg</a>'], 'photo_reference': 'AcJnMuEsiow6gXjhIuuThNwOJyYDkXMB-8HdmGu32lot3kOtYXnxt-67Qdv197akBUtu5FGkxCLa5-aPcIrVVuoYomYKmruj21hrdcP6qBBvA-2ZGKZlMAYfOZe8F5gGLdivebAvyuCNoRopHRtVm_uGpb4kXf_rjgMxuRQukHxYBpIWOosJ', 'width': 4000}]",2,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",1133,restaurant
OPERATIONAL,"{'location': {'lat': 40.431908, 'lng': -3.7009284}, 'viewport': {'northeast': {'lat': 40.43329362989272, 'lng': -3.699474720107279}, 'southwest': {'lat': 40.43059397010727, 'lng': -3.702174379892723}}}",Da Giuseppina,"[{'height': 664, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118402005594061354186"">Da Giuseppina</a>'], 'photo_reference': 'AcJnMuFZHaP3-OfFb2E_IjnRZEmhIsaZAxyrbIbjMcAEjnzr1FkrJk6zKLxnOxWSElIYZ7zlGF6ZIvl3plFdK7J3H0gLOCBlycv69CP2kijWQ1fxupsfmNmc3Gexv4Pp7-8U0NlRQcjnsUuA6-0Kj2cHDRt6vg_UEX2TR9r43UjoDQLGjlBZ', 'width': 1000}]",2,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",452,restaurant
OPERATIONAL,"{'location': {'lat': 40.4232377, 'lng': -3.7073657}, 'viewport': {'northeast': {'lat': 40.42451652989273, 'lng': -3.705966570107277}, 'southwest': {'lat': 40.42181687010728, 'lng': -3.708666229892721}}}",Luna Rossa,"[{'height': 3415, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102227653894933977105"">Luna Rossa</a>'], 'photo_reference': 'AcJnMuFPGnntqy0t9nMpBPjxvQ872r0NWddIDtKCa162AqEMmRoulr1G_KBvt2T-Sy4Owlg0F1RgKK-Pe8PkV4hWIrL-aOnYp-9Ov54nRW7K3MgCo1d6N_stKJkSCoLWVacGoqTbdHXhAGp20QIRnB6zZI4eLgwPbUVsYC4fPb-sT3loTYxV', 'width': 5122}]",2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1864,restaurant
OPERATIONAL,"{'location': {'lat': 40.4398284, 'lng': -3.692850199999999}, 'viewport': {'northeast': {'lat': 40.44118147989273, 'lng': -3.691453320107277}, 'southwest': {'lat': 40.43848182010728, 'lng': -3.694152979892721}}}",A vÁnvera,"[{'height': 858, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103061189371942385569"">A vÁnvera</a>'], 'photo_reference': 'AcJnMuEK_jVo5KzMY37wr2A1okKQZB08kEx138VmVbuq4sTblVZp6lBxsQP_JL7-xVfNbEuwSTmX6x9mhMg25_NIphEA7nCQZx1r1s1hh521_u8usx0ab4LLuExY_Mi-8ya_liD70pcM7JGeT1g1tJWrrvolGtrgMacoSWfy04gajWq7EUGL', 'width': 1620}]",2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",891,restaurant
