business_status,geometry,name,photos,price_level,rating,types,user_ratings_total,tipo
OPERATIONAL,"{'location': {'lat': 40.4526119, 'lng': -3.7006064}, 'viewport': {'northeast': {'lat': 40.45399887989272, 'lng': -3.699236770107277}, 'southwest': {'lat': 40.45129922010728, 'lng': -3.701936429892721}}}",Restaurante Japonés Masa Naomi,"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117324647066198390566"">Jesús Talavera Gómez</a>'], 'photo_reference': 'AcJnMuFaj_MIjzR1pASUW3H-9DcgAceG_zWUL2Wt7Ca6hW1XSwlXgC_KW9EcMZQPqw739QGEARPPgdg174Q3bqzvSoYSMSt_TLYczXqjAprfaSur0FooJBBIMMJTMIXU-d0RqDNSjhNa1dlbIxmQzt5ng2DeVZKrbDu7CWdC-xSqL80MasRS', 'width': 3024}]",2.0,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",2362,restaurant
OPERATIONAL,"{'location': {'lat': 40.435713, 'lng': -3.689798799999999}, 'viewport': {'northeast': {'lat': 40.43692657989271, 'lng': -3.688268970107278}, 'southwest': {'lat': 40.43422692010727, 'lng': -3.690968629892721}}}",Restaurante Japonés - MIYAMA CASTELLANA,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103586448634513731516"">Ezequiel Kuchar</a>'], 'photo_reference': 'AcJnMuFWbBHj-nm3Tq6Hth8VhgK1Hmsw5lrDf841TXseZIZDkxUAqU-wWQaxChgsP_iH596dOQAiN4TLea7uz_lFWC7kD56eFmmo-kz0zSD9DPJesWdfKHtNW68z7RMr3fJ7QceIj2OLY4GV-G5Ur9gBuJWTnQDv6wakYz5ndW3qgbMZOrhY', 'width': 4000}]",3.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1106,restaurant
OPERATIONAL,"{'location': {'lat': 40.4289912, 'lng': -3.7035507}, 'viewport': {'northeast': {'lat': 40.43041527989273, 'lng': -3.702085370107278}, 'southwest': {'lat': 40.42771562010729, 'lng': -3.704785029892722}}}",Restaurante Japonés - ART & SUSHI,"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103924107324452540582"">A Google User</a>'], 'photo_reference': 'AcJnMuEaXbwuA1dw9aHUIf74FTVoxYEhaRvdL5AdJfiOyOTJouA4FJtI278K0eK4ceZYPiLedTFx1lo-9PXNi6e6d1kZbNedXgAH0UZBm7F_Um3iq9gy7qrhQKwMaLaSq4hia9WrwbZ7zPIz1-n5Wu3Fu2rEHY1m2mq7Hm6Jw5cMUYYGGUmD', 'width': 5472}]",2.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1057,restaurant
OPERATIONAL,"{'location': {'lat': 40.423753, 'lng': -3.6951287}, 'viewport': {'northeast': {'lat': 40.42506697989272, 'lng': -3.693722470107278}, 'southwest': {'lat': 40.42236732010728, 'lng': -3.696422129892722}}}",Sibuya Urban Sushi Bar,"[{'height': 2835, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107973565341053886758"">A Google User</a>'], 'photo_reference': 'AcJnMuFWdnGzrWXD92ODfMA76IAtcqk8IpTinhLuTIwUb-vsllTvT7ppXDQsv6EACV-DHs1L2GvlEwnFTSomNqLp_zpIyP7hg6b2C_2zu2rj4RC0Q2xqP0O0jxxcUXhzPLXAvJ-o83d48FoXwu6oS6UcfWg9B0nc-HJoDWpeBX8If6FMYC_7', 'width': 4252}]",2.0,4.5,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",2244,meal_takeaway
OPERATIONAL,"{'location': {'lat': 40.42788609999999, 'lng': -3.7017833}, 'viewport': {'northeast': {'lat': 40.42920757989272, 'lng': -3.700492620107277}, 'southwest': {'lat': 40.42650792010727, 'lng': -3.703192279892721}}}",居酒屋-Konnichiwa de Fuencarral,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114923775791747650955"">Jaime Torres</a>'], 'photo_reference': 'AcJnMuHrq5xAPFco3jJCzY6rkG74KuOt1SZScEspGojnID20MIQWbnrN-Z6IUXgM4XkkRhfFO2FN9UKgKwGWFPMyA7agr6slr2raziLbwZz6vvfXLHxJYNNHbUf4qLPyjgVGr6_rFaCuAa52Hw9K_1SbG7xDvN3lGM6a2sAh_8wPvqExEDBG', 'width': 4032}]",2.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",3432,restaurant
OPERATIONAL,"{'location': {'lat': 40.4585706, 'lng': -3.6857705}, 'viewport': {'northeast': {'lat': 40.45987327989272, 'lng': -3.684299470107278}, 'southwest': {'lat': 40.45717362010728, 'lng': -3.686999129892722}}}",99 Sushi Bar Eurobuilding,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107055028708782299600"">edmund carey</a>'], 'photo_reference': 'AcJnMuFUEFd4iZT__XexZHH0ukHPJ0R3sq49t8aMngCkEzQfY4NwRGPQjcrYKrleZwwDGI5QSAKIQrNwxjwlg2KRSgXgbFiLJt8wmXzumcfKibDSXMdiGf2U367R94hUGSmbZnNo1rdy8ajjbI97AU-K8J0XLi4THyvq6hUK2siLIrnm-Egf', 'width': 4608}]",4.0,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1120,restaurant
OPERATIONAL,"{'location': {'lat': 40.4241401, 'lng': -3.6974529}, 'viewport': {'northeast': {'lat': 40.42549517989271, 'lng': -3.696113420107279}, 'southwest': {'lat': 40.42279552010727, 'lng': -3.698813079892723}}}",Restaurante Sr. Ito,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113253707946768981579"">Ruben Fernandez</a>'], 'photo_reference': 'AcJnMuE1loDd7n4W0XRBy96UAcawe2OXxx4T49QLLBEgsjDs177KK9mG9RYrJawt0fOJxUMqKXVt0oxWZuGApzEZPgpra9RLj1RsFe_Ihb8DHJmVA9wT2oZeM6HhSs1_xb1NeLOXGJO8xMp-av9xYHuFsMcttJtxOycA4YgXQZNH9XMPRiUp', 'width': 4032}]",2.0,4.5,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1552,bar
OPERATIONAL,"{'location': {'lat': 40.4218249, 'lng': -3.6984705}, 'viewport': {'northeast': {'lat': 40.42318397989272, 'lng': -3.697112420107278}, 'southwest': {'lat': 40.42048432010727, 'lng': -3.699812079892722}}}",Izakaya Han,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108654775973879155803"">Paula Gual de Torrella</a>'], 'photo_reference': 'AcJnMuFMNaNTxMubSreDUsk4wPart-3dMF2e_i3PHyQxFCrbibj6m8el8iL7uvpC6BilzoB9VpFOhSMWRV25WKudv0zUJ10zZnw4m3mvxUV1sDopjmRyJbvdlkJu9JZsy5sUzSFIBFyu24Iz0XQ-Uu9osvILXs2N3b6AwFQ_vPrrMeVF4gyh', 'width': 4032}]",2.0,4.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1176,bar
OPERATIONAL,"{'location': {'lat': 40.4210553, 'lng': -3.6898358}, 'viewport': {'northeast': {'lat': 40.42240887989272, 'lng': -3.688498670107277}, 'southwest': {'lat': 40.41970922010728, 'lng': -3.691198329892721}}}",Restaurante Doki Doki,"[{'height': 1276, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104716664919137040168"">Jonathan Burnhams</a>'], 'photo_reference': 'AcJnMuHynNiKHl64iRCUb87SvDuDMJ-TohfMOVju_89Ce9kcB4gacCYRWsWBx7lwjv_T-jFM2AJTWL90MmjhRwSsqM-BcuO89aniKeiPNxXOyP2NRnSFOiDyPw57eZUc3NXHzTJRHN0dtYRLgmrHVmlbX3dEbnPlLGwsOw5UQTCWlBpJUpGB', 'width': 1920}]",3.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",744,restaurant
OPERATIONAL,"{'location': {'lat': 40.4161876, 'lng': -3.6995699}, 'viewport': {'northeast': {'lat': 40.41750627989273, 'lng': -3.698229320107278}, 'southwest': {'lat': 40.41480662010729, 'lng': -3.700928979892722}}}",Donzoko,"[{'height': 6048, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112549774026605700203"">A Google User</a>'], 'photo_reference': 'AcJnMuG-REcjiSLHI27qaMx7erF14w9gf0c6OyuZAJ9kJQch8x79SA4sfYh4G6-QZmAXYgUz18W7833q_FU2mrXcir5i1bZXSe8sVkpzBWJQKnitI4jTajp28n9iBNZO_ExuVFpkmG4pCHsmSnoZNy3zyuNbG6p5bMpghc09j4X5HN7PD7Xm', 'width': 8064}]",2.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",1740,restaurant
