business_status,geometry,name,photos,price_level,rating,types,user_ratings_total,tipo
OPERATIONAL,"{'location': {'lat': 40.419122, 'lng': -3.706977}, 'viewport': {'northeast': {'lat': 40.42049002989271, 'lng': -3.705809570107279}, 'southwest': {'lat': 40.41779037010727, 'lng': -3.708509229892722}}}",La Chamana,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100986198076672667760"">Gonzalo Diez Sobrado</a>'], 'photo_reference': 'AcJnMuHn4EVPmo6qDrsVrevLIi22gAmlNtg5qmG5iWt0vv2Mifj3qvWP6HxUnQadib-X8_Wjn7WfoKQpzjPVGgqS4TT3x5_aLyXNYxk7ziAPNxsTOStrWe8hdDo0o-ysZSCOU9pwPZJCvZd-J3CW9Mr75FbfseScn2NZTEXzjPD2RqStdJYL', 'width': 4032}]",2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1948,restaurant
OPERATIONAL,"{'location': {'lat': 40.4193727, 'lng': -3.7033354}, 'viewport': {'northeast': {'lat': 40.42046767989272, 'lng': -3.702208620107278}, 'southwest': {'lat': 40.41776802010727, 'lng': -3.704908279892722}}}",Takos Al Pastor,"[{'height': 3120, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116227221105276018601"">Pablo Domingo Rojo</a>'], 'photo_reference': 'AcJnMuF_GrnxABa2udlazAEUvxs7lLe47oSG9b6Hlmaw5dnyM_YnmtSIawczw4lCF-C289_EqK6sR9cQSAmslsl-uxKQvduEcdVGcYSuOvll8_dQjNvRSQoYbZ2xz8oMic_gjZ1nuV3UJ2md8V-DmlbAlPv69Df4RY_FFrnzkDbZh1hJG5h5', 'width': 4160}]",1,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",11566,restaurant
OPERATIONAL,"{'location': {'lat': 40.4169641, 'lng': -3.708763299999999}, 'viewport': {'northeast': {'lat': 40.41830517989272, 'lng': -3.707400920107279}, 'southwest': {'lat': 40.41560552010728, 'lng': -3.710100579892722}}}",La Mordida,"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103576051014517957561"">La Mordida</a>'], 'photo_reference': 'AcJnMuFlVhHHuJfH7AenqBgPcNk34_gGfY5305erYNpM2xU1X9S7qYRSbMB1ulEPsJ-NBSr3ah_gt56OaBtQCo0H8Ai3hBoCsP_UZCoKZPxNV4pkvWOj7ommdha3nvQQdm7VhQUKaHLj-EJOBUOmclXrHRVcVyQBQF05WyZ1KAv1IhX5w-gC', 'width': 4288}]",2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",3533,restaurant
OPERATIONAL,"{'location': {'lat': 40.4189893, 'lng': -3.7013529}, 'viewport': {'northeast': {'lat': 40.42031132989273, 'lng': -3.698816950000001}, 'southwest': {'lat': 40.41761167010728, 'lng': -3.702212749999998}}}",Venganza Malinche. Restaurante Mexicano,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100042709739168143774"">Immacolata Pannecchia</a>'], 'photo_reference': 'AcJnMuHc4FgNMmiQR9bLiGll5zquOJs-GC9lwF1NNP7sZqXDrFRGm0UujwSIYwq38O1CbtDyCkX3WO29nZ131pjaMOFxEqGxq6dqmoWpBo7l-CyWM-dU_C-oeFuntCZjmeSn04kQ4mzTsiqU9tTpvstETPshBSNCfO8iCVjaiaGl_qgq3uv7', 'width': 4032}]",2,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",2226,restaurant
OPERATIONAL,"{'location': {'lat': 40.41941130000001, 'lng': -3.7096198}, 'viewport': {'northeast': {'lat': 40.42078142989272, 'lng': -3.708304420107278}, 'southwest': {'lat': 40.41808177010728, 'lng': -3.711004079892722}}}",El rey de los tacos,"[{'height': 1960, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108766472006072849359"">Alonso Campano</a>'], 'photo_reference': 'AcJnMuF4QJDqOPuJXtGjO0yssSVWziFYi_X8MyXPPtii6gT6eEm0xmb62reuEjFmn9duoDKVBnOWZ-xiQJS566rKdOqwPZSUBtu5oC6m_kD8JUnoVnCYyTw7YGoophTTY-Y6jp87gN0_KDTFbGinsgibat2t8rUxS57P3Sl8n2MIhudOlEbD', 'width': 4032}]",1,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",4633,restaurant
OPERATIONAL,"{'location': {'lat': 40.4243921, 'lng': -3.6785491}, 'viewport': {'northeast': {'lat': 40.42574902989272, 'lng': -3.677261370107279}, 'southwest': {'lat': 40.42304937010727, 'lng': -3.679961029892723}}}",Cómete México - General Pardiñas,"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108540128526018577369"">Héctor Gallego de la Paz</a>'], 'photo_reference': 'AcJnMuFLm2DEfvTejz_3HzBnjgCXDRZO2dmA4juTuGFFkE-wXAWX7eOxF0CgVMltQjscWjx5H4dKOBkTQiKkl04w4i__X0XibsPVA6DBc0P3aGUeGfbRBqsfEI9BJ6ZpHz4RQJbER5qevp3iQaYMaLgqI2Zmg1yQdms8e9jp12t1EqQmx2gr', 'width': 4032}]",2,4.4,"['meal_delivery', 'grocery_or_supermarket', 'meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",3732,meal_delivery
OPERATIONAL,"{'location': {'lat': 40.41371580000001, 'lng': -3.673917399999999}, 'viewport': {'northeast': {'lat': 40.41507037989273, 'lng': -3.672697720107278}, 'southwest': {'lat': 40.41237072010728, 'lng': -3.675397379892722}}}",La Mordida,"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114017337448974563786"">La Terraza De La Mordida</a>'], 'photo_reference': 'AcJnMuHVOAkPEJzRChHtY2g5xyXZw2zykFLUIZIYowCDCCVNyotmGJewCKFu-1G-86mNZuqrFPe638FmbtHxb6EMG8WycVpdnhRJpL28hX8vtA7_OJh9CrWoDx3vNG-FFvlLxlRACML8ahcXdO5YxNnb1moEPYbW1ro1YHXkHrGoDhyuKSbI', 'width': 4288}]",2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",4315,restaurant
OPERATIONAL,"{'location': {'lat': 40.4244135, 'lng': -3.6959487}, 'viewport': {'northeast': {'lat': 40.42571802989272, 'lng': -3.694591820107278}, 'southwest': {'lat': 40.42301837010728, 'lng': -3.697291479892722}}}",La Mordida,"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112108209270358358736"">La mordida</a>'], 'photo_reference': 'AcJnMuE_gIta13x5U2YoHhIfZWMnFbelO_6lhua1eMXut4xrDz0glsYgA87xukZH7SKwCUVWvfLk7IUb5Bx2Z8NJYsW-22X8wPyuZx-J3jqvu6bm8RjUH5ksuehwy08fkg5y3IOOV7rEnhesnI7MeWVDqyQPrwhLiQTJODVGsYX3nnksTU69', 'width': 4288}]",2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",2177,restaurant
OPERATIONAL,"{'location': {'lat': 40.4246146, 'lng': -3.7130959}, 'viewport': {'northeast': {'lat': 40.42612722989272, 'lng': -3.712211920107278}, 'southwest': {'lat': 40.42342757010728, 'lng': -3.714911579892722}}}",La Mordida,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101422206701900489431"">Jesús Salinas Buendía</a>'], 'photo_reference': 'AcJnMuF8gkc4YYLcGyOF37n7pjeBXjz5Ql6VTNolD2LZki1DLDPRVZygAd7KBRLdsX84iw1LhaUMO1UzyLpADKoGeSCVoUHo7em6QklgsMoIq1l1BShtNTfW4FMsZM0357WVTYZ9KtxXt_RyOuhZwG7t-8j7W6MheC3Ri8VK9pr6CZgxzGzs', 'width': 3264}]",2,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",2984,restaurant
OPERATIONAL,"{'location': {'lat': 40.4540534, 'lng': -3.6930929}, 'viewport': {'northeast': {'lat': 40.45533247989272, 'lng': -3.691745520107278}, 'southwest': {'lat': 40.45263282010728, 'lng': -3.694445179892722}}}",La Mordida,"[{'height': 2624, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101671784897538296741"">La Mordida</a>'], 'photo_reference': 'AcJnMuHwffbBAg1yQUGHhsKHg3a-C0CFR2t4-wYQoGvdC9QP4xigVXDj6Ys15NPy2joYm-Z_cKgDdTr5D1wICl-mDKwW2Bo96mVniB6Rauk3cKB6n4QZevSdS7ilIe210wgegUGRF3NBnjf3wXY1AKbZ_kMWYLaEMFZKRiVgfhHdKDcbGGoP', 'width': 3936}]",2,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",4189,restaurant
OPERATIONAL,"{'location': {'lat': 40.4111579, 'lng': -3.7071082}, 'viewport': {'northeast': {'lat': 40.41250332989273, 'lng': -3.705807220107278}, 'southwest': {'lat': 40.40980367010728, 'lng': -3.708506879892722}}}",Sahuaro Madrid,"[{'height': 3360, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106723203730550561097"">eduardo ruiz</a>'], 'photo_reference': 'AcJnMuEqg38Yoh__eyKjSkRCMW9wB4QTEbJb9FYpC5edRwGEGj1J1bMVP3mbAoiGpZye8BTcsKpaPPZNzCO505_jjTPherbom5rM2PkTUYjiT63Zw2G9ZXIAMdIJguesAzFGGRNvFDNTciS1vZlf1-gz107d32ZeyrYp37ZExIJAt4-Lvkob', 'width': 3510}]",2,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",2131,bar
OPERATIONAL,"{'location': {'lat': 40.4296067, 'lng': -3.6640837}, 'viewport': {'northeast': {'lat': 40.43097372989272, 'lng': -3.662698620107278}, 'southwest': {'lat': 40.42827407010728, 'lng': -3.665398279892722}}}",La Rodaja,"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116781315706755152252"">LA RODAJA</a>'], 'photo_reference': 'AcJnMuG8KvSBTulf-cKB1mewsf5fmAoJWOh8dvJVhOFvW27wANl5DAGGwoShcAPZeKqEI79f4JaBy8f96KxDHQ109a9mBZ2gBkjLfamG2iWaycNv9ToKjvyasww4fuwoHBqn7XqVuwZJTse6fu1RhkdmOwzSlizs5eMEQCw0W9P0CXZSfJ3n', 'width': 2016}]",1,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",1548,restaurant
OPERATIONAL,"{'location': {'lat': 40.4217413, 'lng': -3.6986621}, 'viewport': {'northeast': {'lat': 40.42308457989272, 'lng': -3.697249820107277}, 'southwest': {'lat': 40.42038492010728, 'lng': -3.699949479892721}}}",El Rincón de los Cuates,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110508506028891335968"">caroclazaro</a>'], 'photo_reference': 'AcJnMuHyNsb2vcybYODaPAtifVrzBRMm-Cbs3Y1NTo0kzLXGCQKWRCZcvAASfYC79mvkxX-hF5fmFaNsF-4R9IRzd-dDJz2_zJdO3WuqqCzMOqZMQn2LwsYfaUtgGtrf2bUSpUkvfh8tj5Ai8M7C-lVEMMPtllMkWSO50Rl9jD8e90-wvOrV', 'width': 4032}]",2,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",986,restaurant
