,id_local,rotulo
0,1,CAMDEN COFFEE ROASTERS              
1,2,PERFUMERIA DROGUERIA RICARDO / LOCAL 17 AL 22
2,3,CAFE LOS ARCOS BAR
3,4,PAIS DE LOS CEVICHES L01/ANTIGUO PUESTO 70
4,5,VALDEMESO
5,6,LA VACA VERONICA
6,7,AFTER 8
7,8,RESTAURANTE LA ALHAMBRA
8,9,CASA RUA
9,10, PALAZZO
10,11,VIANDAS DE SALAMANCA
11,12,HOTEL NH NACIONAL
12,13,BURGUER KING
13,14,LA  TAURINA
14,15,FRUTOS SECOS
15,16,ESCUELA INFANTIL ROSALIA RENDU 
16,17,NUGU ROLLS
17,18,ACADEMIA WILLIAM´S SCHOOL
18,19,LAS CUBAS
19,20,ALIMENTACION
20,21,EL ORIGINAL
21,22,JC
22,23,CLUB 31
23,24,VIPS                                              
24,25,XIAO MAN RESTAURANTE
25,26,"VAS, BOOTS & SHOES"
26,27,HAVAIANAS
27,28,LOCO POLO 
28,29,SEPHORA 
29,30,"MINISUPERMARKET ALIMENTACION, FRUTOS SECOS Y BEBIDAS"
30,31,EL COGOLLO DE LA DESCARGA
31,32,BAR RESTAURANTE EN BUSCA DEL TIEMPO
32,33,ESCUELA INFANTIL  EL DUENDE
33,34,VALGAME DIOS
34,35,LA CASA DE LA CARCASA
35,36,BAR LA CAMPANA
36,37,HOTEL MEDIODIA
37,38,MUNE
38,39,LA DESCUBIERTA
39,40,LA MORDIDA
40,41,CARNICERIA M LOPEZ
41,42,MYA QUESOS ARTESANOS / PTOS 20 Y 21
42,43,RESTAURANTE DAR MONA
43,44,ALIMENTACION
44,45,AVIANCA EXPRESS BILLETES AEREOS
45,46,GERIASA RESIDENCIA GERIATRICA
46,47,PIES&CAKES
47,48,EL RINCON DEL GATO
48,49,BAR RESTAURANTE LA GOYESCA
49,50,CENTRO INFANTIL  ANDAL
50,51,GUARDERIA  TEDDY
51,52,PROJARDIN RETIRO II
52,53,LA MADRILA
53,54,BONHOMIA
54,55,YAN KEN PON LOCAL 11 (PUESTO 44-45-46-47-48)
55,56,CEIP PALACIO VALDES
56,57,CEIP SANTA MARIA
57,58,CEIP ANTONIO MORENO ROSALES
58,59,PANS & COMPANY
59,60,LA IMPORTADORA
60,61,BANCO SANTANDER
61,62,FRATER MADRID
62,63,TXAPELA
63,64,EL RINCONCITO GIFTS RECUERDOS ARTESANIA
64,65,PETIT PALACE ARENAL
65,66,RESTAURANTE
