business_status,geometry,name,photos,price_level,rating,types,user_ratings_total,tipo
OPERATIONAL,"{'location': {'lat': 40.4213139, 'lng': -3.7053772}, 'viewport': {'northeast': {'lat': 40.42270272989272, 'lng': -3.703964670107277}, 'southwest': {'lat': 40.42000307010727, 'lng': -3.706664329892721}}}",El Buda Feliz 1974,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114801949885759459559"">Beatriz Aguado</a>'], 'photo_reference': 'AcJnMuGmykyVvdVyB4MWqMIsvX-iewqQgm8E0nsssgGwzVjjlmIuoFvn8-laAnQFJtKs5ECJEi9wFi_36gRMCFMJtNOwil22ZJJUzmFVpjYsLbkluT2s7v5dV1ARaQ0vlGIer5NTB5bU7umaumzVL47K4A3sg_nxhyUo_nx-8ASH2z37_n4m', 'width': 4608}]",1.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",5078,restaurant
OPERATIONAL,"{'location': {'lat': 40.4585018, 'lng': -3.6599837}, 'viewport': {'northeast': {'lat': 40.45988417989273, 'lng': -3.658739420107278}, 'southwest': {'lat': 40.45718452010728, 'lng': -3.661439079892722}}}",Gran Hong Kong,"[{'height': 440, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102683060855517250328"">Gran Hong Kong</a>'], 'photo_reference': 'AcJnMuETmz7as6Ctb371JWNJHbG1VyR3KhgEePSd_kKIKKAPYVy7EaUyY8JTxB5iBDGfiwkujrX-SIo6Hvu4UnLjONt2bhSmN_UjBkayx6ZtgObK0-iYo17zdBqHxoYNxawRpdGn3JqweVRa_Buzy_IU_s7aG_i9n99p5frCpNOmLjH8XQlO', 'width': 720}]",2.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",816,restaurant
OPERATIONAL,"{'location': {'lat': 40.4197018, 'lng': -3.7091391}, 'viewport': {'northeast': {'lat': 40.42106092989272, 'lng': -3.707792970107278}, 'southwest': {'lat': 40.41836127010728, 'lng': -3.710492629892721}}}",Xiaoman,"[{'height': 3362, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108902537989746421879"">A Google User</a>'], 'photo_reference': 'AcJnMuGDs0FW_GbyQ7nDiyIw47c4l9MdgEVzgiWXh-qSP1NjP7_jVsAgmizoO0ZjKktuHS69puEsyV41jfewkJVT7hqK1SNAPpqaOPcQ7yFp2z_48x-2VinV6T_KeCeLENnrUkdfmAnl3eVWpGF-QaZKjPTY5GwRMuAtRN8Othb7X5BZMv1q', 'width': 3024}]",,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",437,restaurant
OPERATIONAL,"{'location': {'lat': 40.4817385, 'lng': -3.6659134}, 'viewport': {'northeast': {'lat': 40.48301977989272, 'lng': -3.664585720107278}, 'southwest': {'lat': 40.48032012010727, 'lng': -3.667285379892722}}}",Ni Hao,"[{'height': 2896, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112206712309333442930"">Luis</a>'], 'photo_reference': 'AcJnMuGhCGFV9IIFxqFjNZGDkuCTowEDa1_xWByol-trKlo81v6Pm-J5dmghNiqmlB-sXKBlG7ML9rLAJk30G-Kij1V5X1jsOQMd5s4-13A8ybS9ZX1jlY295SOuBhDfkSxNi7jK4cGoeVMDo8rZEuflunsJxktpBpwTj062XlAv4Le_x1pB', 'width': 5152}]",1.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1854,restaurant
OPERATIONAL,"{'location': {'lat': 40.4341882, 'lng': -3.7055487}, 'viewport': {'northeast': {'lat': 40.43554792989272, 'lng': -3.704237770107278}, 'southwest': {'lat': 40.43284827010728, 'lng': -3.706937429892722}}}",Restaurante Long Tu,"[{'height': 3792, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113500111649190452993"">A Google User</a>'], 'photo_reference': 'AcJnMuHYwjteMUuAXyZ1plZHz2qkogmjYyw1Zqev4f7NmSsbwb4H9MLR10T0GhaPKudSl9uFsoPMuNV9vR3bKl9ZeakXmNHCcFXwFVLqp06Kw3Ew5bKDWM5jkyn-4jWZvQ6n5zIjh4Rw8ueMyx2dVClp46Q7VN-O4y0HxIzvI2gaWak4VOxi', 'width': 3792}]",1.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",371,restaurant
OPERATIONAL,"{'location': {'lat': 40.4471435, 'lng': -3.6638466}, 'viewport': {'northeast': {'lat': 40.44841732989272, 'lng': -3.662540720107278}, 'southwest': {'lat': 40.44571767010728, 'lng': -3.665240379892722}}}",China Té,"[{'height': 1224, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112628588981388815942"">China Te</a>'], 'photo_reference': 'AcJnMuET-bmNoU6zPlFS6wPfQ7vppyb5Z1DSh21SvXnB9kaqX0v9zL6ls2BDwSqC_NnTkU0ZA3xFJX6h3hTHB9aAFET2VgHnPj1mvMzgn85MHPFjPxO6ryqVK1nLKBmGCTGJA992pnwiWZCEJEDPE2IhfrUzr1fw7N2Sh7isUqUIAPIvkf4J', 'width': 1632}]",1.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1371,restaurant
OPERATIONAL,"{'location': {'lat': 40.3949963, 'lng': -3.6985398}, 'viewport': {'northeast': {'lat': 40.39635102989272, 'lng': -3.697134620107278}, 'southwest': {'lat': 40.39365137010728, 'lng': -3.699834279892722}}}",Restaurante Chino Gran Siglo,"[{'height': 2184, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108679232707990976065"">A Google User</a>'], 'photo_reference': 'AcJnMuFgiiq2K2w9y8X6KgRxT6MjWNrs4UOdxgXCHJr3VesIxgbb_K9Kj3XCbZbeGQ9crxnqitnIq4XyyO7h0qb4uejaMuRKe50wUSv6zZ1G-L5js2l4269aiuNNenaSkr0SWVdsrYfVY4AjZ88kkHmuxEe0rkXBJ433xVFTVewfzCpezLff', 'width': 4608}]",1.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",636,restaurant
OPERATIONAL,"{'location': {'lat': 40.3878588, 'lng': -3.7659998}, 'viewport': {'northeast': {'lat': 40.38922662989273, 'lng': -3.764558620107278}, 'southwest': {'lat': 40.38652697010728, 'lng': -3.767258279892721}}}",Restaurante Guang Zhou,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103522959305444888534"">jose efrain cuellar arevalo</a>'], 'photo_reference': 'AcJnMuEZNWOjeYB-CGgiaNPWvrQpHWhF8_2FywwMOsAtxuhzcLhfN5TLMteP-zwvDDSD4fduoCrN-rTkGcw6AGw8zqQWQnRQHBUmSFGk-gR1LtqV0hEJpWQSoGchw2mqSuIJ7e5Zhgx5xpFS4X9PvWHDRhtKLWxlQiXZAJQdDzIGGZJ_iJUR', 'width': 4032}]",1.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",1532,restaurant
OPERATIONAL,"{'location': {'lat': 40.4318509, 'lng': -3.6594509}, 'viewport': {'northeast': {'lat': 40.43330562989272, 'lng': -3.658034070107278}, 'southwest': {'lat': 40.43060597010728, 'lng': -3.660733729892721}}}",Palacio Imperial,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100909328915342288425"">jorge romero</a>'], 'photo_reference': 'AcJnMuEOw_F9FSXu_aVpVgL0lsgbJoxEusP22WYA30iXT2TXAczkSLeTI9p7-leCivXKNdlGqXArNiv3WuXImPfgz4WGjeCYbBWXbfkDGN6VazfZk8UoD-QZBMEjl8Ab11j1PQVVMsJwKC23g3DmzZ-lAnny7cKQEjFp7jDHtsrlucgxh3n3', 'width': 4032}]",1.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",2207,restaurant
OPERATIONAL,"{'location': {'lat': 40.4646555, 'lng': -3.721346}, 'viewport': {'northeast': {'lat': 40.46599382989272, 'lng': -3.719837870107278}, 'southwest': {'lat': 40.46329417010728, 'lng': -3.722537529892722}}}",Oriental Palace,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114661589521934006018"">Miguel Oreja</a>'], 'photo_reference': 'AcJnMuHALfX-tpzMWObQ3HmlmAmeL3lYmGfWkmt7mj5E564RpIxkqUXMZjdmLUcy7YMfdjbpfWIolBLcU-Z2ZiodMOSJsoALnduji84Lhfn4KIFFVoxVf99hmnUF4KUiK_7rKvi4KzUbChSloQckwHDyqB-oTOqcdLuuJa_B3aIzOiem0yMf', 'width': 4000}]",1.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",839,restaurant
