business_status,geometry,name,photos,price_level,rating,types,user_ratings_total,tipo
OPERATIONAL,"{'location': {'lat': 40.4318509, 'lng': -3.6594509}, 'viewport': {'northeast': {'lat': 40.43330562989272, 'lng': -3.658034070107278}, 'southwest': {'lat': 40.43060597010728, 'lng': -3.660733729892721}}}",Palacio Imperial,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100909328915342288425"">jorge romero</a>'], 'photo_reference': 'AcJnMuFBG-yysXg3k8_ooPTcac8n-H6iMiE4rxLVqqSVWuE5cWcmmrhpSG5jtvPPeM3qOmQcKrEjmEFXm8UYM26Ed0OOLBkHvPDMPV51LjKIfQJcI9Q9muIyzIPveNLfxiHpVhf-9FIrByZlnduEbpw7CskikE97EY_R7aIlc9Tl77nGO8DE', 'width': 4032}]",1.0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",2207,restaurant
OPERATIONAL,"{'location': {'lat': 40.3516311, 'lng': -3.6868071}, 'viewport': {'northeast': {'lat': 40.35302737989272, 'lng': -3.685433970107278}, 'southwest': {'lat': 40.35032772010728, 'lng': -3.688133629892722}}}",Restaurante Chino Prosperidad II,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107622503861656807821"">Debora de lucas</a>'], 'photo_reference': 'AcJnMuFsU-l2vwNwSP2PWb1T1TVICXAk0gLM1di5agczfOUH5r2e6PiXCiitxLAG3O1i7VOWnzGjHTCCKWmvSsoQw-KvhEdRe9wisN5jsHkaB4qI42cj5hPQyTCfbKknlnMTtb_7P8qslARPrHiWyEmkVsrr5CSMD6nA3STU3AFV2_INWY-7', 'width': 4000}]",1.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",785,restaurant
OPERATIONAL,"{'location': {'lat': 40.3708461, 'lng': -3.6132272}, 'viewport': {'northeast': {'lat': 40.37213087989272, 'lng': -3.611829570107278}, 'southwest': {'lat': 40.36943122010728, 'lng': -3.614529229892722}}}",Restaurante Asiático Xing,"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117533291905297580420"">ideaweb Madrid Diseño web y gráfico</a>'], 'photo_reference': 'AcJnMuFWddu-M-0xUNJc8vLlWqt7EVwbeVCu53F2OfgRNUoMEP5gjhJdnVZfH6U0Rbk8GmNso0OuRNn4XAbJrc2b1qnbNRZiJR9EPVO05T0tINZBq0E6o7fh-ek9e8l4a-vE_CyhKwxIYb6uPzFi68XUS2FXqQINditEXH8JSrE3PAyEcPtx', 'width': 1920}]",1.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",954,restaurant
OPERATIONAL,"{'location': {'lat': 40.4109643, 'lng': -3.657703399999999}, 'viewport': {'northeast': {'lat': 40.41238727989272, 'lng': -3.656612870107278}, 'southwest': {'lat': 40.40968762010728, 'lng': -3.659312529892722}}}",Restaurante Dong Cheng,"[{'height': 6936, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102723429246198389936"">Vio Becerro Hernandez</a>'], 'photo_reference': 'AcJnMuEhNvqaMn_wNc-PG01zhdT4x7WleG4fmUxeHbo6oCAogTDByNeVZtwqhHSk5sXxYktaZZ5HhS9EnV6Xpn7AT1tm-LJWHj_psqr1ihOMMNgiFIsF_H7gGx13RuD831Ch6h6YoEhjBTUlhR-Z5xoMKNZKgqOqIsct0FURTSVkrb482jQC', 'width': 9248}]",1.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",2814,restaurant
OPERATIONAL,"{'location': {'lat': 40.4572584, 'lng': -3.7009433}, 'viewport': {'northeast': {'lat': 40.45865472989273, 'lng': -3.699575520107278}, 'southwest': {'lat': 40.45595507010728, 'lng': -3.702275179892722}}}",Restaurante La Villa,"[{'height': 2160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115877112631577499232"">m.a. t.c.</a>'], 'photo_reference': 'AcJnMuGwM8Q32QLljE-U0jlHfZ9dsAqHTe6Vpdwi6AWMrORe17nu0cnLUvPF4NlCQ-jhCiByQReNJUu95WBA8QtjLOJla6BhrtjyKPf2Cq_0ILPegxCutRmoi0eTaRqPPLOhILEJTUPzI9lhEp6wdCHHErKWj8NrDAMehRkrD3H3I4gVcN0H', 'width': 3840}]",1.0,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",471,restaurant
OPERATIONAL,"{'location': {'lat': 40.4071749, 'lng': -3.6307336}, 'viewport': {'northeast': {'lat': 40.40863727989272, 'lng': -3.629478570107278}, 'southwest': {'lat': 40.40593762010728, 'lng': -3.632178229892721}}}",Restaurante Yong Tai,"[{'height': 4144, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109126426161358446007"">Jorge Sanchez Herrera</a>'], 'photo_reference': 'AcJnMuFzhFAxNu4CajWDvnOApYnuMJkbSlcXElao0soq75piGgkElsl2FFH76sQK_h-uq4WoRHB36XzleswqpJZchBh-aq3QcH1L-BF88BSyopvoOBbFeiTJJkwDmqauRtyj24HMn5K3eA_pAJnuL9izLGnz04RaVRjclTDcuzj3TMHd1rle', 'width': 5520}]",1.0,3.5,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",527,meal_delivery
OPERATIONAL,"{'location': {'lat': 40.3289962, 'lng': -3.7633564}, 'viewport': {'northeast': {'lat': 40.33032547989271, 'lng': -3.761965170107278}, 'southwest': {'lat': 40.32762582010727, 'lng': -3.764664829892721}}}",RESTAURANTE Chino La Abundancia,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104677670204734213414"">Maria del Mar Garcia</a>'], 'photo_reference': 'AcJnMuEts-gpaJEvFSHq-FxFwIHIPFQBgi9L1Cu9NzMAnSiYAoGexH1gGNH0UWnpO9DiI7LE2cbThtRXDY_idUQ6we7p8cmoRXhrxnMHkoayJSuf97lTy4yCwh3t6Ngq_lARg2QO8_EPk8Xi2TtsXRxWMw2ECK69ixmVS5m-lmN7c4KIfFmK', 'width': 4032}]",1.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",521,restaurant
OPERATIONAL,"{'location': {'lat': 40.3428845, 'lng': -3.7486286}, 'viewport': {'northeast': {'lat': 40.34419122989273, 'lng': -3.747271220107279}, 'southwest': {'lat': 40.34149157010729, 'lng': -3.749970879892722}}}",Restaurante Chino Hai Cheng,"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115056780362942963569"">Cristina de Castro</a>'], 'photo_reference': 'AcJnMuGFUtDg6i_lhoO5sfVNGP0cZJoooKp5w1poJtXSHM6ffz6BKOvkSqsOwMhasjV3gRaSMUqypSJJcFV-sWZD5f3kipAht28yyxPgZRzEtwquozrwV7gFpHOeBpyNY8bBeXGhKVeny6VqSQvjhNRvrsutazPjVX4rCUHy_-iF7mXI6dA5', 'width': 3264}]",1.0,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",758,restaurant
OPERATIONAL,"{'location': {'lat': 40.43964450000001, 'lng': -3.6195606}, 'viewport': {'northeast': {'lat': 40.44106227989272, 'lng': -3.618160470107278}, 'southwest': {'lat': 40.43836262010728, 'lng': -3.620860129892722}}}",Restaurante Dinasty Los Fogones 2,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111678116788265134292"">Jesús Hernández Castillo</a>'], 'photo_reference': 'AcJnMuGBPWZ1h8g_iVrp-spfsMts1r3lC_UQ_Q6ave7tyG8EzMM6U4jq6Z7rhbG4p2xqBMo7esTfD99P1ddeezKwuNV3a8E7Sj3hB-bDuZLm0P5M4WInFTXymu8nv_9I95u-PMtk79kpKsuWo_Y0UYFPY38dIY3vYG_L5glBjjKPQtc5H2BS', 'width': 3264}]",1.0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",727,restaurant
OPERATIONAL,"{'location': {'lat': 40.4178624, 'lng': -3.7033186}, 'viewport': {'northeast': {'lat': 40.41965182989271, 'lng': -3.702206270107278}, 'southwest': {'lat': 40.41695217010727, 'lng': -3.704905929892722}}}",wok sun,"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105371529870177881357"">Jcarlos Ricote</a>'], 'photo_reference': 'AcJnMuHA4T_ZeC0Ovzc7887QAy-ZqSBX1zL3T_DwyhewHxVll1wG3sevixfcZEpeVE0jf8ZZSO2wofyyCLnoRSckJfyDFIEoynpWeGjNhypu6VClfcLVzuwnZb-wx06QuUzJ8MnZBqDTLM2LRYDX3iP1U8t2VjcLJyC1cIljcim3YWy_GSwh', 'width': 3264}]",1.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",1683,restaurant
